"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2015) - Captage, traitement et distribution d'eau (NAF rév. 2, niveau division, poste 36)";"Codes"
"idBank";"010537888";""
"Dernière mise à jour";"05/04/2023 08:45";""
"Période";"";""
"1990-01";"77.65";"A"
"1990-02";"78.45";"A"
"1990-03";"78.62";"A"
"1990-04";"79.09";"A"
"1990-05";"79.74";"A"
"1990-06";"80.19";"A"
"1990-07";"80.71";"A"
"1990-08";"81.13";"A"
"1990-09";"81.79";"A"
"1990-10";"82.48";"A"
"1990-11";"83.21";"A"
"1990-12";"83.52";"A"
"1991-01";"84.28";"A"
"1991-02";"85.34";"A"
"1991-03";"85.09";"A"
"1991-04";"85.57";"A"
"1991-05";"85.88";"A"
"1991-06";"86.06";"A"
"1991-07";"86.33";"A"
"1991-08";"85.57";"A"
"1991-09";"86.59";"A"
"1991-10";"87.01";"A"
"1991-11";"87.17";"A"
"1991-12";"87.56";"A"
"1992-01";"88.01";"A"
"1992-02";"86.69";"A"
"1992-03";"88.43";"A"
"1992-04";"88.54";"A"
"1992-05";"88.34";"A"
"1992-06";"88.42";"A"
"1992-07";"88.31";"A"
"1992-08";"86.46";"A"
"1992-09";"88.23";"A"
"1992-10";"88.19";"A"
"1992-11";"88.4";"A"
"1992-12";"88.49";"A"
"1993-01";"89.61";"A"
"1993-02";"90.27";"A"
"1993-03";"90.35";"A"
"1993-04";"90.4";"A"
"1993-05";"90.01";"A"
"1993-06";"89.64";"A"
"1993-07";"89.19";"A"
"1993-08";"86.46";"A"
"1993-09";"89.22";"A"
"1993-10";"89.72";"A"
"1993-11";"90.77";"A"
"1993-12";"90.67";"A"
"1994-01";"93.7";"A"
"1994-02";"92.51";"A"
"1994-03";"93.44";"A"
"1994-04";"93.14";"A"
"1994-05";"92.43";"A"
"1994-06";"91.05";"A"
"1994-07";"90.24";"A"
"1994-08";"86.09";"A"
"1994-09";"89.31";"A"
"1994-10";"90.68";"A"
"1994-11";"92.52";"A"
"1994-12";"91.95";"A"
"1995-01";"88.88";"A"
"1995-02";"90.94";"A"
"1995-03";"91.48";"A"
"1995-04";"91.55";"A"
"1995-05";"93.14";"A"
"1995-06";"94.45";"A"
"1995-07";"96.19";"A"
"1995-08";"100.56";"A"
"1995-09";"94.34";"A"
"1995-10";"93.66";"A"
"1995-11";"92.09";"A"
"1995-12";"91.83";"A"
"1996-01";"89.72";"A"
"1996-02";"92.46";"A"
"1996-03";"90.93";"A"
"1996-04";"92.65";"A"
"1996-05";"91.66";"A"
"1996-06";"100.98";"A"
"1996-07";"92.65";"A"
"1996-08";"90.78";"A"
"1996-09";"91.76";"A"
"1996-10";"89.7";"A"
"1996-11";"90.45";"A"
"1996-12";"90.72";"A"
"1997-01";"93.36";"A"
"1997-02";"91.94";"A"
"1997-03";"92.0";"A"
"1997-04";"97.71";"A"
"1997-05";"92.12";"A"
"1997-06";"89.7";"A"
"1997-07";"89.77";"A"
"1997-08";"93.39";"A"
"1997-09";"94.18";"A"
"1997-10";"92.59";"A"
"1997-11";"89.16";"A"
"1997-12";"89.11";"A"
"1998-01";"87.18";"A"
"1998-02";"87.43";"A"
"1998-03";"88.1";"A"
"1998-04";"86.5";"A"
"1998-05";"91.34";"A"
"1998-06";"89.24";"A"
"1998-07";"86.53";"A"
"1998-08";"90.39";"A"
"1998-09";"87.37";"A"
"1998-10";"87.46";"A"
"1998-11";"89.59";"A"
"1998-12";"89.58";"A"
"1999-01";"85.76";"A"
"1999-02";"88.13";"A"
"1999-03";"87.83";"A"
"1999-04";"87.71";"A"
"1999-05";"88.54";"A"
"1999-06";"88.57";"A"
"1999-07";"90.83";"A"
"1999-08";"88.15";"A"
"1999-09";"90.49";"A"
"1999-10";"89.23";"A"
"1999-11";"89.49";"A"
"1999-12";"89.85";"A"
"2000-01";"89.65";"A"
"2000-02";"90.14";"A"
"2000-03";"90.14";"A"
"2000-04";"90.51";"A"
"2000-05";"91.14";"A"
"2000-06";"90.56";"A"
"2000-07";"90.06";"A"
"2000-08";"91.02";"A"
"2000-09";"92.09";"A"
"2000-10";"92.21";"A"
"2000-11";"91.64";"A"
"2000-12";"91.18";"A"
"2001-01";"93.5";"A"
"2001-02";"94.82";"A"
"2001-03";"95.04";"A"
"2001-04";"93.74";"A"
"2001-05";"92.43";"A"
"2001-06";"93.97";"A"
"2001-07";"93.75";"A"
"2001-08";"93.79";"A"
"2001-09";"94.28";"A"
"2001-10";"95.19";"A"
"2001-11";"96.38";"A"
"2001-12";"97.02";"A"
"2002-01";"97.48";"A"
"2002-02";"95.63";"A"
"2002-03";"97.27";"A"
"2002-04";"98.14";"A"
"2002-05";"96.87";"A"
"2002-06";"94.57";"A"
"2002-07";"91.82";"A"
"2002-08";"95.49";"A"
"2002-09";"92.68";"A"
"2002-10";"95.31";"A"
"2002-11";"95.97";"A"
"2002-12";"93.2";"A"
"2003-01";"98.93";"A"
"2003-02";"98.23";"A"
"2003-03";"95.87";"A"
"2003-04";"98.24";"A"
"2003-05";"98.75";"A"
"2003-06";"99.12";"A"
"2003-07";"106.22";"A"
"2003-08";"101.9";"A"
"2003-09";"99.07";"A"
"2003-10";"98.56";"A"
"2003-11";"98.15";"A"
"2003-12";"99.01";"A"
"2004-01";"98.08";"A"
"2004-02";"98.74";"A"
"2004-03";"100.72";"A"
"2004-04";"99.32";"A"
"2004-05";"97.68";"A"
"2004-06";"98.9";"A"
"2004-07";"97.66";"A"
"2004-08";"94.82";"A"
"2004-09";"98.17";"A"
"2004-10";"96.42";"A"
"2004-11";"94.39";"A"
"2004-12";"92.73";"A"
"2005-01";"92.85";"A"
"2005-02";"94.97";"A"
"2005-03";"97.7";"A"
"2005-04";"91.17";"A"
"2005-05";"96.86";"A"
"2005-06";"95.77";"A"
"2005-07";"94.99";"A"
"2005-08";"94.2";"A"
"2005-09";"94.62";"A"
"2005-10";"92.52";"A"
"2005-11";"93.49";"A"
"2005-12";"94.48";"A"
"2006-01";"93.51";"A"
"2006-02";"91.98";"A"
"2006-03";"91.22";"A"
"2006-04";"92.54";"A"
"2006-05";"93.79";"A"
"2006-06";"99.09";"A"
"2006-07";"94.56";"A"
"2006-08";"94.5";"A"
"2006-09";"93.16";"A"
"2006-10";"92.88";"A"
"2006-11";"92.93";"A"
"2006-12";"94.25";"A"
"2007-01";"92.39";"A"
"2007-02";"92.49";"A"
"2007-03";"90.52";"A"
"2007-04";"93.46";"A"
"2007-05";"89.89";"A"
"2007-06";"93.55";"A"
"2007-07";"92.14";"A"
"2007-08";"91.81";"A"
"2007-09";"92.83";"A"
"2007-10";"94.72";"A"
"2007-11";"94.65";"A"
"2007-12";"92.28";"A"
"2008-01";"92.64";"A"
"2008-02";"93.67";"A"
"2008-03";"94.71";"A"
"2008-04";"91.62";"A"
"2008-05";"94.02";"A"
"2008-06";"87.97";"A"
"2008-07";"93.35";"A"
"2008-08";"94.82";"A"
"2008-09";"93.54";"A"
"2008-10";"91.88";"A"
"2008-11";"95.33";"A"
"2008-12";"93.44";"A"
"2009-01";"98.3";"A"
"2009-02";"94.61";"A"
"2009-03";"94.4";"A"
"2009-04";"92.93";"A"
"2009-05";"94.72";"A"
"2009-06";"95.05";"A"
"2009-07";"96.61";"A"
"2009-08";"100.26";"A"
"2009-09";"94.61";"A"
"2009-10";"97.33";"A"
"2009-11";"95.01";"A"
"2009-12";"96.73";"A"
"2010-01";"94.25";"A"
"2010-02";"94.91";"A"
"2010-03";"93.96";"A"
"2010-04";"95.73";"A"
"2010-05";"92.24";"A"
"2010-06";"91.05";"A"
"2010-07";"97.96";"A"
"2010-08";"90.13";"A"
"2010-09";"94.35";"A"
"2010-10";"93.64";"A"
"2010-11";"91.91";"A"
"2010-12";"97.64";"A"
"2011-01";"95.12";"A"
"2011-02";"92.85";"A"
"2011-03";"90.75";"A"
"2011-04";"96.48";"A"
"2011-05";"97.93";"A"
"2011-06";"97.53";"A"
"2011-07";"93.56";"A"
"2011-08";"97.31";"A"
"2011-09";"99.26";"A"
"2011-10";"98.57";"A"
"2011-11";"99.72";"A"
"2011-12";"97.45";"A"
"2012-01";"101.81";"A"
"2012-02";"104.29";"A"
"2012-03";"104.04";"A"
"2012-04";"99.3";"A"
"2012-05";"104.27";"A"
"2012-06";"102.11";"A"
"2012-07";"101.29";"A"
"2012-08";"109.16";"A"
"2012-09";"102.9";"A"
"2012-10";"92.48";"A"
"2012-11";"97.53";"A"
"2012-12";"97.19";"A"
"2013-01";"96.05";"A"
"2013-02";"101.59";"A"
"2013-03";"98.88";"A"
"2013-04";"100.33";"A"
"2013-05";"100.55";"A"
"2013-06";"103.19";"A"
"2013-07";"104.89";"A"
"2013-08";"122.24";"A"
"2013-09";"114.7";"A"
"2013-10";"100.64";"A"
"2013-11";"104.21";"A"
"2013-12";"99.98";"A"
"2014-01";"101.46";"A"
"2014-02";"100.23";"A"
"2014-03";"103.57";"A"
"2014-04";"104.55";"A"
"2014-05";"102.39";"A"
"2014-06";"103.01";"A"
"2014-07";"91.49";"A"
"2014-08";"90.69";"A"
"2014-09";"99.2";"A"
"2014-10";"102.58";"A"
"2014-11";"105.32";"A"
"2014-12";"105.74";"A"
"2015-01";"103.46";"A"
"2015-02";"100.69";"A"
"2015-03";"101.5";"A"
"2015-04";"100.43";"A"
"2015-05";"99.63";"A"
"2015-06";"100.66";"A"
"2015-07";"101.5";"A"
"2015-08";"96.91";"A"
"2015-09";"95.63";"A"
"2015-10";"98.7";"A"
"2015-11";"98.98";"A"
"2015-12";"101.92";"A"
"2016-01";"100.25";"A"
"2016-02";"100.57";"A"
"2016-03";"97.38";"A"
"2016-04";"97.35";"A"
"2016-05";"95.43";"A"
"2016-06";"89.93";"A"
"2016-07";"93.76";"A"
"2016-08";"97.2";"A"
"2016-09";"96.15";"A"
"2016-10";"95.37";"A"
"2016-11";"96.83";"A"
"2016-12";"97.98";"A"
"2017-01";"98.97";"A"
"2017-02";"98.64";"A"
"2017-03";"96.81";"A"
"2017-04";"97.51";"A"
"2017-05";"99.15";"A"
"2017-06";"101.57";"A"
"2017-07";"95.84";"A"
"2017-08";"95.83";"A"
"2017-09";"91.42";"A"
"2017-10";"98.18";"A"
"2017-11";"97.9";"A"
"2017-12";"95.63";"A"
"2018-01";"95.48";"A"
"2018-02";"92.72";"A"
"2018-03";"94.4";"A"
"2018-04";"94.14";"A"
"2018-05";"93.24";"A"
"2018-06";"89.07";"A"
"2018-07";"93.2";"A"
"2018-08";"93.51";"A"
"2018-09";"94.34";"A"
"2018-10";"98.15";"A"
"2018-11";"93.35";"A"
"2018-12";"90.58";"A"
"2019-01";"93.81";"A"
"2019-02";"93.71";"A"
"2019-03";"94.36";"A"
"2019-04";"93.98";"A"
"2019-05";"93.53";"A"
"2019-06";"93.8";"A"
"2019-07";"100.49";"A"
"2019-08";"91.6";"A"
"2019-09";"94.15";"A"
"2019-10";"94.99";"A"
"2019-11";"93.2";"A"
"2019-12";"93.84";"A"
"2020-01";"91.89";"A"
"2020-02";"95.1";"A"
"2020-03";"91.18";"A"
"2020-04";"91.3";"A"
"2020-05";"92.51";"A"
"2020-06";"91.97";"A"
"2020-07";"95.27";"A"
"2020-08";"96.45";"A"
"2020-09";"93.78";"A"
"2020-10";"93.03";"A"
"2020-11";"92.92";"A"
"2020-12";"93.17";"A"
"2021-01";"94.76";"A"
"2021-02";"94.74";"A"
"2021-03";"96.35";"A"
"2021-04";"93.72";"A"
"2021-05";"91.52";"A"
"2021-06";"93.31";"A"
"2021-07";"88.98";"A"
"2021-08";"88.4";"A"
"2021-09";"92.12";"A"
"2021-10";"91.68";"A"
"2021-11";"93.44";"A"
